Unia,mara-du,genus,loga-asal,Latine,linke,Engle,Frans,Espanya,Arab,Hindu,putung Han,Nipon
adres,2,adres,"eng:address, por:endereço, rus:а́дрес, tur:adres, fas:آدْرِس",,,n. address,,,,,,
nomer,2,adres,"eng:number, por:número, spa:número, rus:но́мер, tur:numara, swa:namba, hin:नंबर, jpn:ナンバー",,,"n. number, figure; v. count, enumerate; a. numeric",,,,,,
aivek,2,animal,"ale:amgadaq, ypk:asveq, ipk:aiviq, iku:aivik, kal:aaveq",Odobenus,,n. walrus,,,,,,
akrap,2,animal,"ara:عقرب, tur:akrep, may:akrab",Scorpiones,,scorpion,,,,,,
alpaka,2,animal,,Lama pacos,,alpaca,,,,,,
animal,2,animal,,Animalia,,animal; meat,,,,,,
aranye,2,animal,"spa:araña, por:aranha, fra:araignée, eng:arachnid",Araneae,,spider,,,,,,
baga,2,animal,,Panthera tigris,,tiger,,,,,,
balena,2,animal,,,,whale,,,,,,
bat-fut,2,animal,,Octopoda,,octopus,,,,,,
bozi,2,animal,"fas:بز, hin:बकरा, ben:বকরা, swa:mbuzi, nya:mbuzi, sho:mbudzi",Capra,,goat,,,,,,
delfin,2,animal,"eng:dolphin, spa:delfín, por:delfim, deu:Delfin, rus:дельфи́н, tur:dolfen, ara:دُلْفِين‎, may:dolfin",Delphinidae,,dolphin,,,دلفين‎,,,海豚
dom-miao,2,animal,,Felis catus,,"n. house cat, cat",,,,,,
eskarabe,2,animal,,Coleoptera,,beetle,,,,,,
formika,2,animal,"por:formiga, spa:hormiga, fra:fourmi",Formicidae,,ant,,,,,,
gamel?,2,animal,,Camelus,,camel,,,,,,
gaza,2,animal,,Elephantidae,,elephant,,,,,,
gorila,2,animal,,,,n. gorilla,,,,,,
gurube,2,animal,"swa:nguruwe, zul:ingulûbe, sot:kolobe, tsn:kolobe, shona:nguruwe, kinyarwanda:ingurube",Sus domesticus,,"pig, boar",,,,,,
hargos,2,animal,"hin:ख़रगोश, ben:খরগোশ, fas:خرگوش",Leporidae,,"rabbit, hare, bunny",,,,,,
insekto,2,animal,"eng:insect, spa:insecto, por:inseto, deu:Insekt, fra:insecte",Insecta,,insect; bug,,,,,,
inzi,2,animal,"swa:nzi, kinyarwanda:isazi",Brachycera,,fly (insect),,,,,,
kalmari,2,animal,,Decapodiformes,,squid,,,,,,
karakula,3,animal,,Caracal caracal,,caracal,,,,,,
kolibri,2,animal,"fra:colibri, por:colibri, spa:colibrí, rus:коли́бри, swa:kolibri",,,hummingbird,,"colibrí, picaflor, chupaflor, quinde",,,,
koral,2,animal,"eng:coral, por:coral, spa:coral, deu:Koralle, rus:кора́лл",,,coral,,,,,,
krabe,2,animal,"eng:crab, rus:краб, ara:كبوريا",Brachyura,,crab,,,,,,
kuku,1,animal,"swa:kuku, xho:inkukhu, zul:inkukuh, sotho:kgoho, tsn:kgogo, shona:huku, kinyarwanda:inkoko, malagasy:akoho, rus:ко́кошь",Gallus gallus domesticus,,"chicken, fowl, hen, rooster",,,,,,
liama,2,animal,,Lama glama,,llama,,,,,,
linse,2,animal,"eng:lynx, fra:lynx, por:lince, spa:lince, deu:Luchs",Lynx,,lynx,,,,,,
lung,2,animal,zho:竜,,,dragon,,,,,,
lupo?,2,animal,,Canis lupus,,n. wolf,,,,,,
maci,1,animal,"hin:मछली, ben:মাছ",,,fish,,,سمك,,,
meimun,1,animal,"ara:مَيْمُون‎, fas:میمون, tur:maymun, ell:μαϊμού, spa:mono",Simiiformes,,"monkey, ape",,,,,,
mel?-zum,2,animal,,,,honeybee,,,,,,
meme,1,animal,,Ovis,,"sheep, ram",,,,,,
miao,1,animal,,Felis,,n. cat,,,,,,
moskito,2,animal,"eng:mosquito, spa:mosquito, por:mosquito, fra:moustique, deu:Moskito, rus:моски́т",Nematocera,,"mosquito, gnat, midge",,,,,,
mus,1,animal,,Muridae,,mouse; rat; gerbil,,,,,,
naul,3,animal,"hin:नेवला, ben:নেউল, pan:ନକୁଳ, guj:નકુલ, ori:ନକୁଳ",Herpestidae,,"n. mongoose, meerkat",,,,,,
orka,2,animal,,Ornicus orca,,"orca, killer whale",,,,,,
paksi,1,animal,hin:पक्षी,Aves,,bird,,,,,,
papagai,2,animal,"ara:ببغاء, spa:papagayo, por:papagaio, deu:Papagei, rus:попугай, tur:papağan",Psittaciformes,,parrot,,"papagayo, loro",ببغاء,,,
parsa,2,animal,"tur:pars, deu:Parder, rus:барс",Panthera pardus,,leopard,,,,,,
pinguin,2,animal,,Spheniscidae,,penguin,,,,,,
roye linse,3,animal,,Lynx rufus,,bobcat,,,,,,
salmo,2,animal,,Salmoninae,,"salmon, trout, char, lenok",,,,,,
serpe,2,animal,"eng:serpent, spa:serpiente, por:serpente, fra:serpent, hin:सर्प, ben:সাপ",Serpentes,,snake,,,,,,
servo,2,animal,"spa:ciervo, por:cervu, fra:cerf",Cervidae,,"deer, reindeer, elk, buck, doe",,,,,,
sicou?-verma?,2,animal,,Mombyx mori,,silkworm,,,,,,
singa,2,animal,"swa:simba, may:singa, hin:सिंघ",Panthera leo,,lion,,,,,,
surikat,3,animal,"eng:suricate, spa:suricato, por:suricato, rus:сурика́т",Suricata,,"n. meerkat, suricate",,,,,,
tortuga?,2,animal,,,,n. turtle,,,,,,
urso,2,animal,,Ursidae,,bear,,,,,,
ururu,2,animal,,Canis lupus,,wolf,,,,,,
vaf,1,animal,,Canis familiaris,,"dog, hound",,,,,,
vermo?,2,animal,,,,worm,,,,,,
vulpe,2,animal,,Vulpes,,fox,,,,,,
yaguar,2,animal,,Panthera onca,,"jaguar, panther",,,,,,
zebra,2,animal,,Equus quagga,,zebra,,,,,,
zum,2,animal,,Hymenoptera,,bee; wasp,,,,,,
,2,animal,,,,armadillo,,,,,,
,2,animal,,Castor,,beaver,,,,,,
,2,animal,,Anatidae,,"duck, goose, swan",,,,,,
,2,animal,,,,hawk,,,,,,
,2,animal,,,,mole,,,,,,
,2,animal,,Alces,,"moose, elk",,,,,,
,2,animal,,,,n. eagle,,,,,,
,2,animal,,,,n. falcon,,,,,,
,3,animal,,Erinaceinae,,n. hedgehog,,,,,,
,2,animal,,Pinnipedia,,"n. pinniped, seal, sea lion",,,,,,
,2,animal,,,,"n. vulture, condor?",,,,,,
,2,animal,,Ornithorhynchidae,,platypus,,,,,,
,2,animal,,,,slug,,,,,,
mou,1,"animal, zi nam",,Bos taurus,,"n. cattle, cow, bull, ox; (letter) M",,,,,,
mar,1,"animal,cahmat","eng:mare, deu:Mähre, jpn:ウマ, zho:馬 OR eng:horse, deu:Hengst, ara:حِصَان",Equus ferus caballus,,horse; (chess) knight,,,,,,
?,2,badan,,,,armpit,,,,,,
?,2,badan,,,,back (anatomy),,,,,,
?,2,badan,,,,"belly, stomach, gut",,,,,,
?,2,badan,,,,bridge of nose,,,,,,
?,2,badan,,,,"butt, buttock",,,,,,
?,2,badan,,,,cheek,,,,,,
?,2,badan,,,,cheekbone,,,,,,
?,2,badan,,,,"chest, breast",,,,,,
?,2,badan,,,,chin,,,,,,
?,2,badan,,,,"crotch, groin",,,,,,
?,2,badan,,,,elbow,,,,,,
?,2,badan,,,,fingertip,,,,,,
?,2,badan,,,,forearm,,,,,,
?,2,badan,,,,forehead,,,,,,
?,2,badan,,,,"hip, pelvis",,,,,,
?,2,badan,,,,knee,,,,,,
?,2,badan,,,,knuckle,,,,,,
?,2,badan,,,,"n. digit, finger, toe; intr.v. point, indicate; tr.v. point at",,,,,,
?,2,badan,,,,palm (of hand),,,,,,
?,2,badan,,,,shin,,,,,,
?,2,badan,,,,shoulder,,,,,,
?,2,badan,,,,thigh,,,,,,
?,2,badan,,,,upper arm,,,,,,
?,2,badan,,,,waist,,,,,,
[butt?]-[hole?],2,badan,,,,anus,,,,,,
[cheek]-kesa,2,badan,,,,sideburn,,,,,,
[chin]-kesa,2,badan,,,,beard,,,,,,
boka?,1,badan,,,,n. mouth,,,,,,
dente?,2,badan,,,,tooth,,,,,,
eskelet,2,badan,"eng:skeleton, spa:esqueleto, por:esqueleto, rus:скеле́т, tur:iskelet",,,"n. skeleton; frame, framework, structure",,,,,,
fut-nuk,2,badan,,,,ankle,,,,,,
fut-plate,2,badan,,,,n. sole (of foot),,,,,,
fut-saka,2,badan,,,,n. leg,,,,,,
hat,1,badan,"eng:hand, deu:Hand, hin:हाथ, ben:হাত",,,hand,,,,,,
hat-nuk,2,badan,,,,wrist,,,,,,
hat-plate,2,badan,,,,n. palm (of hand),,,,,,
hat-retro?,2,badan,,,,back of hand,,,,,,
hat-saka,2,badan,,,,n. arm,,,,,,
kapa?,2,badan,,,,head,,,,,,
labi,2,badan,,,,lip,,,,,,
labi-kesa,2,badan,,,,mustache,,,,,,
lisan?,2,badan,,,,tongue,,,,,,
nao,2,badan,,,,brain,,,,,,
nica labi,2,badan,,,,lower lip,,,,,,
nos-[hole?],2,badan,,,,nostril,,,,,,
nos?,1,badan,,,,n. nose,,,,,,
nuk-retro?,2,badan,,,,nape of neck,,,,,,
nuk?,2,badan,,,,neck,,,,,,
oko-kesa,2,badan,,,,eyelash,,,,,,
oko-kesa?,2,badan,,,,eyebrow,,,,,,
oko-tapa?,2,badan,,,,eyelid,,,,,,
ore,1,badan,,,,n. ear; intr.v. listen; tr.v. listen to; hear,,,,,,
ore-[hole?],3,badan,,,,ear canal,,,,,,
pene,2,badan,,,,penis,,,,,,
saka?,2,badan,,,,"n. limb, branch, bough",,,,,,
super labi,2,badan,,,,upper lip,,,,,,
vagina,2,badan,,,,vagina,,,,,,
vagina-labi,2,badan,,,,labia,,,,,,
,2,badan,,,,armpit hair,,,,,,
,2,badan,,,,head hair,,,,,,
,2,badan,,,,heart (organ),,,,,,
fut,1,"badan,metro",,ft,,foot,,,,,,
oko,1,"badan,zi nam","spa:ojo, por:olho, ita:occhio, deu:Auge, rus:о́ко, hin:आँख",,o,"n. eye; (letter) O; intr.v. look; tr.v. look at, watch, eye",,,,,,
kup-cate,2,bina-sei,,,,n. dome,,,,,,
bon dia,2,bon-dia loga,,,,"i. good day, good afternoon; hello, goodbye",,,,,,
bon noce,2,bon-dia loga,,,,"i. good evening, good night",,,,,,
bon safar,2,bon-dia loga,,,,"i. bon voyage, have a good trip",,,,,,
bon suare?,1,bon-dia loga,,,,i. good evening,,,,,,
bon suba,1,bon-dia loga,,,,i. good morning,,,,,,
oi,2,bon-dia loga,"eng:oi, por:oi, spa:oye, jpn:おい",,,"i. hey, excuse me",,,,,,
pos mit li,1,bon-dia loga,,,,"i. see you later, bye, goodbye, farewell",,,,,,
,2,bon-dia loga,,,,i. long time no see,,,,,,
kastel,2,cahmat,"eng:castle, por:castelo, spa:castillo, tur:kast, may:kastil",,,"n. castle, fort, fortress, fortification; rook (chess)",,,,,,
aikido,2,cang-sut,,,,aikido,,,,,,
boksi,2,cang-sut,,,,boxing,,,,,,
Han cang-sut,2,cang-sut,,,,"Chinese martial arts, kung fu, wushu",,,,,,
kapoeira,2,cang-sut,,,,capoeira,,,,,,
karate,2,cang-sut,,,,karate,,,,,,
kendo,3,cang-sut,,,,kendo,,,,,,
taegvondo,2,cang-sut,,,,taekwondo,,,,,,
taigicuan,2,cang-sut,,,,tai chi,,,,,,
zyuzyutsu,2,cang-sut,,,,"jujutsu, jiu-jitsu",,,,,,
,2,cang-sut,,,,wrestling,,,,,,
da,0,correlative,yue:嗰,,,"that, this",,,,,,
da sabap ze,2,correlative,,,,"therefore, so, because of that, herefore",,,,,,
da sei,1,correlative,,,,"that thing, this thing; it",,,,,,
da tempo pe,1,correlative,,,,"then, at that time",,,,,,
da zen,0,correlative,,,,"that person, this person; they, them (referring to one person); she, her; he, him",,,,,,
da zen di,0,correlative,,,,"their (referring to one person); her, hers; his",,,,,,
der,1,correlative,,,,there,,,,,,
eni,2,correlative,,,,"any, whichever",,,,,,
eni agar li,2,correlative,,,,"no matter what, in any case",,,,,,
eni plas pe,2,correlative,,,,"anywhere, wherever",,,,,,
eni sei,2,correlative,,,,"anything, whatever",,,,,,
eni tempo,2,correlative,,,,"n. ever, any time, whenever",,,,,,
eni zen,2,correlative,,,,anyone,,,,,,
eni zen,2,correlative,,,,"anyone, whoever",,,,,,
hir,1,correlative,,,,here,,,,,,
hir tempo,1,correlative,,,,"now, these days",,,,,,
ke,0,correlative,,,,a. what, which; aux.v. (forms binary questions),,,,,,
ke fang,2,correlative,,,ke,pn. which one, which way,,,,,,
ke fang li,2,correlative,,,ke,"how, in what way, by what method",,,,,,
ke hal,2,correlative,,,,"how, what condition",,,,,,
ke plas li,2,correlative,,,,"where, to which place, whither",,,,,,
ke plas pe,0,correlative,,,,"where, in what place",,,,,,
ke plas ze,2,correlative,,,,"where, from which place, whence",,,,,,
ke poli,2,correlative,,,,how much,,,,,,
ke sabap ze,2,correlative,,,,why,,,,,,
ke sat,0,correlative,,,,what time of day,,,,,,
ke sat pe,2,correlative,,,ke tempo pe,"when, at what time",,,,,,
ke sei,0,correlative,,,ke,what,,,,,,
ke tempo pe,0,correlative,,,ke sat,when,,,,,,
ke un,2,correlative,,,ke,which (of a group),,,,,,
ke yang di,2,correlative,,,,what kind of,,,,,,
ke yang li,2,correlative,,,ke,"how, in what way, in what manner",,,,,,
ke zen,0,correlative,,,,"who, whom",,,,,,
ke zen di,2,correlative,,,,whose,,,,,,
nai plas,2,correlative,,,,nowhere,,,,,,
nai sei,2,correlative,,,,nothing,,,,,,
nai tempo pe,2,correlative,,,,never,,,,,,
nai zen,2,correlative,,,,no one,,,,,,
pan,2,correlative,,,,all,,,,,,
pan dua di,2,correlative,,,,"every other, alternating",,,,,,
pan mara,2,correlative,,,,"n. every time, always",,,,,,
pan plas pe,2,correlative,,,,everywhere,,,,,,
pan sei,2,correlative,,,,everything,,,,,,
pan tempo pe,2,correlative,,,,"always, at all times",,,,,,
pan uni zen,2,correlative,,,,"every person, each person",,,,,,
pan zen,2,correlative,,,,"everyone, all people",,,,,,皆
pan-tempo,2,correlative,,,,n. eternity; eon; lifetime; a. permanent; perpetual; eternal; long-lived,,,,,,
te,0,correlative,,,,"v. be; exist; n. state; a. some; extant, present; sf. -ness, -ity, -hood, -ship; pf. -ful; av. somewhat",,,,,,
te alo,2,correlative,,,,"some other, another",,,,,,
te fang li,2,correlative,,,,somehow,,,,,,
te mara pe,1,correlative,,,,sometimes,,,,,,
te plas pe,1,correlative,,,,somewhere,,,,,,
te poli,2,correlative,,,,"some, an amount of; somewhat",,,,,,
te sabap ze,2,correlative,,,,for some reason,,,,,,
te sei,2,correlative,,,,something,,,,,,
te tempo pe,1,correlative,,,,"sometime, at some point",,,,,,
te yang di,2,correlative,,,,some kind of,,,,,,
te zen,2,correlative,,,,someone,,,,,,
te nomer,2,correlatve,,,,"some, several, a number of",,,,,,
[equator?] Ginia desa,3,desa,,,,Equatorial Guinea,,,,,,
Afghan desa,2,desa,,,,Afghanistan,,,,,,
Aíti desa,2,desa,,,,Haiti,,,,,,
Alania desa,3,desa,,,,"South Ossetia, Alania",,,,,,
Amérika desa,1,desa,,,,"USA, America, United States of America",,,,,,
Andora desa,3,desa,,,,Andorra,,,,,,
Angola desa,2,desa,,,,Angola,,,,,,
Antígua Va Barbuda desa,3,desa,,,,Antigua and Barbuda,,,,,,
Aotearoa desa,3,desa,,,,New Zealand,,,,,,
Arhentina desa,2,desa,,,,Argentina,,,,,,
Artsah desa,3,desa,,,,Artsakh,,,,,,
Azerbaican desa,2,desa,,,,Azerbaijan,,,,,,
Bahama desa,3,desa,,,,the Bahamas,,,,,,
Bahrain desa,3,desa,,,,Bahrain,,,,,,
Bangla desa,2,desa,,,,Bangladesh,,,,,,
Barat desa,1,desa,,,,India,,,,,,
Barbado(s?) desa,3,desa,,,,Barbados,,,,,,
Belarus desa,3,desa,,,,Belarus,,,,,,
Bélgia desa,2,desa,"nld:België, fra:Belgique, deu:Belgien",,,Belgium,,,,,,
Beliz desa,3,desa,,,,Belize,,,,,,
Benin desa,3,desa,,,,Benin,,,,,,
Bok Eire desa,3,desa,,,,North Ireland,,,,,,
Bok Hanguk desa,2,desa,,,,North Korea,,,,,,
Bok Makedonia desa,3,desa,,,,North Macedonia,,,,,,
Bolívia desa,2,desa,,,,Bolivia,,,,,,
Bosna Va Hercegovina desa,3,desa,,,,Bosnia and Herzegovina,,,,,,
Brazavil Kongo desa,2,desa,,,,Republic of the Congo,,,,,,
Brazil desa,2,desa,,,,Brazil,,,,,,
Brítan desa,1,desa,,,,"UK, United Kingdom, Brittain",,,,,,
Brítan imperia,2,desa,,,,Brittish Empire,,,,,,
Brunei desa,3,desa,,,,Brunei,,,,,,
Bulgária desa,3,desa,,,,Bulgaria,,,,,,
Burkina desa,2,desa,,,,Burkina Faso,,,,,,
Cad desa,3,desa,,,,Chad,,,,,,
Ceska desa,2,desa,,,,"Czechia, Czech Republic",,,,,,
Ceska-Slovenska desa,3,desa,,,,Czechoslovakia,,,,,,
Cile desa,2,desa,,,,Chile,,,,,,
Dan desa,3,desa,,,,Denmark,,,,,,
Desa Lige,3,desa,,,,League of Nations,,,,,,
Deuc desa,2,desa,,,,Germany,,,,,,
Divehi desa,3,desa,,,,Maldives,,,,,,
Domínika desa,3,desa,,,,Dominica,,,,,,
Dominikana desa,2,desa,,,,Domnican Republic,,,,,,
Druk desa,3,desa,,,,Bhutan,,,,,,
Eire desa,3,desa,,,,Ireland,,,,,,
Ekuador desa,3,desa,,,,Ecuador,,,,,,
Elada desa,2,desa,,,,Greece,,,,,,
Engle desa,2,desa,,,,England,,,,,,
Eritria desa,3,desa,,,,Eritrea,,,,,,
Espanya desa,2,desa,,,,Spain,,,,,,
Esti desa,3,desa,,,,Estonia,,,,,,
Etiopia desa,2,desa,,,,Ethiopia,,,,,,
Filastin desa,3,desa,,,,Palestine,,,,,,
Filipin nesia,2,desa,,,,The Philippines,,,,,,
Frans desa,1,desa,,,,France,,,,,,
Frugia desa?,3,desa,,,,n. Phrygia,,,,,,
Gabon desa,3,desa,,,,Gabon,,,,,,
Gambia desa,3,desa,,,,The Gambia,,,,,,
Gana desa,2,desa,,,,Ghana,,,,,,
Ganda desa,2,desa,,,,Uganda,,,,,,
Gayana desa,3,desa,,,,Guyana,,,,,,
Ginia desa,3,desa,,,,Guinea,,,,,,
Gran Colombia desa,3,desa,,,,Gran Columbia,,,,,,
Gran Kolombia desa,3,desa,,,,Gran Colombia,,,,,,
Grenada desa,3,desa,,,,Grenada,,,,,,
Grenadin nesia,3,desa,,,,The Grenadines,,,,,,
Guatemala desa,3,desa,,,,Guatemala,,,,,,
Haya desa,3,desa,,,,Armenia,,,,,,
Hrovat desa,3,desa,,,,Croatia,,,,,,
Imarat desa,3,desa,,,,United Arab Emirates,,,,,,
Indonesia desa,1,desa,,,,Indonesia,,,,,,
Irak desa,2,desa,,,,Iraq,,,,,,
Iran desa,2,desa,,,,Iran,,,,,,
Island desa,3,desa,,,,Iceland,,,,,,
Isra'el desa,2,desa,,,,Israel,,,,,,
Italia desa,2,desa,,,,Italy,,,,,,
Ivuar desa,2,desa,,,,Côte d'Ivoire (Ivory Coast),,,,,,
Kabu Verdi desa,3,desa,,,,Cabo Verde (Cape Verde),,,,,,
Kalahlit desa,2,desa,,,,Greenland,,,,,,
Kambucia desa,3,desa,,,,Cambodia,,,,,,
Kamerun desa,2,desa,,,,Cameroon,,,,,,
Kamri desa,3,desa,,,,Wales,,,,,,
Kánada desa,2,desa,,,,Canada,,,,,,
Kartvel desa,3,desa,,,,Georgia,,,,,,
Katar desa,3,desa,,,,Qatar,,,,,,
Kazak desa,2,desa,,,,Kazakhstan,,,,,,
Keme desa,3,desa,,,,Ancient Egypt,,,,,,
Kenya desa,2,desa,,,,Kenya,,,,,,
Kinshasa Kongo desa,3,desa,,,,Democratic Republic of the Congo,,,,,,
Kipris desa,3,desa,,,,Cyprus,,,,,,
Kirgiz desa,3,desa,,,,Kyrgyzstan,,,,,,
Kiribati desa,3,desa,,,,Kiribati,,,,,,
Kolómbia desa,2,desa,,,,Colombia,,,,,,
Komoro(s?) desa,3,desa,,,,Comoros,,,,,,
Kosovo desa,3,desa,,,,Kosovo,,,,,,
Kosta Rika desa,3,desa,,,,Costa Rica,,,,,,
Kuba desa,2,desa,,,,Cuba,,,,,,
Kuveit desa,3,desa,,,,Kuwait,,,,,,
Laibiria desa,3,desa,,,,Liberia,,,,,,
Lanka desa,2,desa,,,,Sri Lanka,,,,,,
Lao desa,3,desa,,,,Laos,,,,,,
Latvia desa,3,desa,,,,Latvia,,,,,,
Libia desa,3,desa,,,,Libya,,,,,,
Lietuva desa,3,desa,,,,Lithuania,,,,,,
Lihtenstein desa,3,desa,,,,Liechtenstein,,,,,,
Lubnan desa,3,desa,,,,Lebanon,,,,,,
Luksemburg desa,3,desa,,,,Luxembourg,,,,,,
Madagasi desa,2,desa,,,,Madagascar,,,,,,
Maghreb desa,2,desa,,,,Morocco,,,,,,
Magyar desa,2,desa,,,,Hungary,,,,,,
Malavi desa,2,desa,,,,Malawi,,,,,,
Mali desa,2,desa,,,,Mali,,,,,,
Malta desa,3,desa,,,,Malta,,,,,,
Marshal nesia,3,desa,,,,Marshall Islands,,,,,,
Masri desa,2,desa,,,,Egypt,,,,,,
Méhiko desa,2,desa,,,,Mexico,,,,,,
Melaisia desa,2,desa,,,,Malaysia,,,,,,
Mikronesia desa,3,desa,,,,Micronesia,,,,,,
Moldova desa,3,desa,,,,Moldova,,,,,,
Mongol desa,2,desa,,,,Mongolia,,,,,,
Mongol imperia,2,desa,,,,Mongolian Empire,,,,,,
Montenegro desa,3,desa,,,,Montenegro,,,,,,
Moris desa,3,desa,,,,Mauritius,,,,,,
Mozambik desa,2,desa,,,,Mozambique,,,,,,
Muritania desa,3,desa,,,,Mauritania,,,,,,
Myanma desa,2,desa,,,,"Myanmar, Burma",,,,,,
Naizhíria desa,2,desa,"eng:Nigeria, hau:Najeriya, ibo:Naìjíríyà, yor:Nàìjíríà, pcm:Naijá",,,Nigeria,,,,,,
Namibia desa,3,desa,,,,Namibia,,,,,,
Nauru desa,3,desa,,,,Nauru,,,,,,
Nederland desa,2,desa,,,,The Netherlands,,,,,,
Nepal desa,2,desa,,,,Nepal,,,,,,
Nikarágua desa,3,desa,,,,Nicaragua,,,,,,
Nipon desa,2,desa,,,,Japan,,,,,,
Nistria desa,3,desa,,,,Transnistria,,,,,,
Niue desa,3,desa,,,,Niue,,,,,,
Nizher desa,2,desa,,,,Niger,,,,,,
Norge desa,3,desa,,,,Norway,,,,,,
Onduras desa,3,desa,,,,Honduras,,,,,,
Osman imperia,2,desa,,,,Ottoman Empire,,,,,,
Óstereih desa,3,desa,,,,Austria,,,,,,
Ostréilia desa,2,desa,,,,Australia,,,,,,
Pakistan desa,3,desa,,,,Pakistan,,,,,,
Palau desa,3,desa,,,,Palau,,,,,,
Panamá desa,3,desa,,,,Panama,,,,,,
Papua Nove Ginia desa,3,desa,,,,Papua New Guinea,,,,,,
Paraguai desa,3,desa,,,,Paraguay,,,,,,
Perú desa,2,desa,,,,Peru,,,,,,
Pol desa,2,desa,,,,Poland,,,,,,
Portugal desa,2,desa,,,,Portugal,,,,,,
Roma imperia,2,desa,,,,Roman Empire,,,,,,
Romania desa,3,desa,,,,Romania,,,,,,
Rundi desa,3,desa,,,,Burundi,,,,,,
Rúsia desa,1,desa,,,,Russia,,,,,,
Rvanda desa,3,desa,,,,Rwanda,,,,,,
Sahara desa,3,desa,,,,Sahrawi Arab Democratic Republic,,,,,,
Salone desa,3,desa,,,,Sierra Leone,,,,,,
Salvador desa,3,desa,,,,El Salvador,,,,,,
Sámoa desa,3,desa,,,,Samoa,,,,,,
San Marino desa,3,desa,,,,San Marino,,,,,,
Sarik Timor desa,3,desa,,,,East Timor,,,,,,
Saúd desa,2,desa,,,,Saudi Arabia,,,,,,
Seicel desa,3,desa,,,,Seychelles,,,,,,
Seint Kits Va Nívis desa,3,desa,,,,Saint Kitts and Nevis,,,,,,
Seint Lúsia desa,3,desa,,,,Saint Lucia,,,,,,
Seint Vínsent Va Grenadin desa,3,desa,,,,Saint Vincent and the Grenadines,,,,,,
Senegal desa,3,desa,,,,Senegal,,,,,,
Sentro Afrika desa,3,desa,,,,Central African Republic,,,,,,
Serbia desa,3,desa,,,,Serbia,,,,,,
Shkip desa,3,desa,,,,Albania,,,,,,
Skot desa,2,desa,,,,Scotland,,,,,,
Slovénia desa,3,desa,,,,Slovenia,,,,,,
Slovénska desa,3,desa,,,,Slovakia,,,,,,
Solomon nesia,3,desa,,,,Solomon Islands,,,,,,
Somalia desa,3,desa,,,,Somalia,,,,,,
Somaliland desa,3,desa,,,,Somaliland,,,,,,
Soto desa,3,desa,,,,Lesotho,,,,,,
Sovet desa,2,desa,,,,Soviet Union,,,,,,
Sudan desa,2,desa,,,,Sudan,,,,,,
Suomi desa,3,desa,,,,Finland,,,,,,
Sur Afrika desa,2,desa,,,,South Africa,,,,,,
Sur Hanguk desa,2,desa,,,,South Korea,,,,,,
Sur Sudan desa,3,desa,,,,South Sudan,,,,,,
Suria desa,2,desa,,,,Syria,,,,,,
Suriname desa,3,desa,,,,Suriname,,,,,,
Sven desa,2,desa,,,,Sweden,,,,,,
Svits desa,3,desa,"deu:Schweiz, fra:Suisse, ita:Svizzera, roh:Svizra",,,Switzerland,,,,,,
Swati desa,3,desa,,,,Eswatini,,,,,,
Tai desa,2,desa,,,,Thailand,,,,,,
Taivan desa,2,desa,,,,Taiwan,,,,,,
Tanzania desa,2,desa,,,,Tanzania,,,,,,
Togo desa,3,desa,,,,Togo,,,,,,
Tonga desa,3,desa,,,,Tonga,,,,,,
Tozhik desa,3,desa,,,,Tajikistan,,,,,,
Trinidad Va Tobeigo desa,3,desa,,,,Trinidad and Tobago,,,,,,
Tsvana desa,3,desa,,,,Botswana,,,,,,
Tunis desa,2,desa,,,,Tunisia,,,,,,
Turkia desa,2,desa,,,,Turkey,,,,,,
Turkmen desa,3,desa,,,,Turkmenistan,,,,,,
Tuvalu desa,3,desa,,,,Tuvalu,,,,,,
Ukraína desa,2,desa,,,,Ukraine,,,,,,
Uman desa,3,desa,,,,Oman,,,,,,
Unifa Arab desa,3,desa,,,,United Arab Republic,,,,,,
Urdun desa,2,desa,,,,Jordan,,,,,,
Uruguai desa,3,desa,,,,Uruguay,,,,,,
Uzbek desa,2,desa,,,,Uzbekistan,,,,,,
Vanuatu desa,3,desa,,,,Vanuatu,,,,,,
Venezuela desa,3,desa,,,,Venezuela,,,,,,
Vici desa,3,desa,,,,Fiji,,,,,,
Viet desa,2,desa,,,,Vietnam,,,,,,
Yemen desa,2,desa,,,,Yemen,,,,,,
Yugoslavia desa,3,desa,,,,Yugoslavia,,,,,,
Zambia desa,3,desa,,,,Zambia,,,,,,
Zhameika desa,3,desa,,,,Jamaica,,,,,,
Zhazá'ir desa,2,desa,,,,Algeria,,,,,,
Zhibuti desa,3,desa,,,,Djibouti,,,,,,
Zhong Desa,1,desa,,,,China,,,,,,
Zimbabve desa,3,desa,,,,Zimbabwe,,,,,,
Mónako nagra,3,"desa,nagra",,,,Monaco,,,,,,
Singapor nagra,2,"desa,nagra",,,,Singapore,,,,,,
Vatikano nagra,2,"desa,nagra",,,,Vatican City,,,,,,
agni-kan,3,din,,,,"n. fire temple, darb-e mehr, dar-e mehr, atashkada",,,,,,
Baha'i din,2,din,,,,Bahaism,,,,,,
Buda din,2,din,,,,Buddhism,,,,,,
Buda minar,3,din,,,,n. pagoda,,,,,,
Dao din,2,din,,,,Daoism,,,,,,
duva-plas,2,din,,,,n. shrine,,,,,,
guru-kan,3,din,,,,n. gurdwara,,,,,,
heiau,3,din,,,,n. heiau,,,,,,
Hindu din,2,din,,,,Hinduism,,,,,,
Islam din,2,din,,,,Islam,,,,,,
