nibasa,genus,loga-asal,latin,Engle,Espania,Rusia,Turkia,Hindu,Melayu,putong Han,Nipon
(sei) super li,,,,"above (sei), over (sei), on (sei)",,,,,,,
(sei) super na,fraze,,,"above (sei), over (sei), on (sei)",,,,,,,
(sei) ta li,fraze,,,as a (sei),,,,,,,
(sei) tema na,fraze,,,"about (sei), regarding (sei), on the topic of (sei)",,,,,,,
(zen) di (sei),fraze,,,(zen)’s (sei) (possessive postposition),,,,,,,
(zen) di (sei) ga ta,fraze,,,(zen) has (sei),,,,,,,
(zen) kon li,fraze,,,together with (zen),,,,,,,
(zen) teze ze,,,,"according to (zen), as stated by (zen), based on what (zen) says",,,,,,,
[ammunition?]-banke,,,,(ammunition) magazine,,,,,,,
[money?]-banke,,,,bank (financial institution),,,,,,,
[sangue?]-banke,,,,blood bank,,,,,,,
abil,,,,va. can; n. ability; power; a. possible; probable; able; av. possibly; probably,,,,,,,
abil li,,,,av. maybe; possibly,,,,,,,
abil no abil,,,,"va. might, could; i. maybe, it's possible",,,,,,,
adala,,"ara:عَدْل, tur:adalet, may:adalat",,"n. justice; a. fair, just",,,,,,,
adamas,materi,,,diamond,,,,,,,
adi,,,,"v. add, append, affix, attach, join; add up, sum up; a. more, additional, further",,,,,,,加える
Afghan desa,desa,,,Afghanistan,,,,,,,
agar,,,,"v. suppose; a. hypothetical; n. supposition, hypothesis",,,,,,,
agni,,,,fire; flame,,,,,,,
agni?,zi,,A,"(letter) A; (note) a, la",,,,,,,
agro,,,,"v. cultivate, farm",,,,,,,
agro-tipo,tipo-logi,,,"(taxonomy) cultivar, agrotype",,,,,,,
ai,emot,zho:愛,,"v. like, love; a. dear, favorite",,,,,,,
aide,,,,"help, aid",,,,,,,
ais-kubo,,,,"freezer, ice-box",,,,,,,
Aiti desa,,,,Haiti,,,,,,,
akademi,,,,"n. academy, university, learned society; Academia; a. academic",,,,,,,
akrap,animal,"ara:عقرب, tur:akrep, may:akrab",Scorpiones,scorpion,,,,,,,
akse,,,,axis; axle,,,,,,,
alga,,,,algae; seaweed,alga,,,,,,
alkali,,,,n. alkali,,,,,,,
alkali-gusto,gusto,,,a. bitter,,,,,,,
alkol,,"eng:alcohol, spa:alcohol, por:álcool, rus:алкого́ль, tur:alkol, ara:كُحُول‎, fas:الکل‎, may:alkohol, jpn:アルコール",,n. alcohol; a. alcoholic,,,,,,,
alo,,,,other,,,,,,,
alo mara,,,,another time,,,,,,,
alo sei,,,,something else,,,,,,,
alo-fono,,,,allophone,,,,,,,
alo-genus,,,,"different, distinct",,,,,,,
alo-mara,,,,another time; again,,,,,,,
alo-sifa?,,,,"distinccion, difference, variacion, discrepancy, margin, balance",,,,,,,
alpaka,animal,,Lama pacos,alpaca,,,,,,,
alumin,materi,,Al,aluminum,,,,,,,
Amazona rivo,topia,,,Amazon river,,,,,,,
amen,,,,amen,,,,,,,
Amerika bara,topia,,,"America, the Americas",,,,,,,
Amerika desa,desa,,,United States of America,,,,,,,
Amerika mano basa,basa,,,American Sign Language (ASL),,,,,,,
amir,,,,command,,,,,,,
amir desa,,,,emirate,,,,,,,
amir zen,,,,commander,,,,,,,
amoniak,materi,,,ammonia,,,,,,,
Andora desa,desa,,,Andorra,,,,,,,
Angola desa,desa,,,Angola,,,,,,,
animal,animal,,,animal; meat,,,,,,,
animal-tabi,,,,"brutality, animal nature",,,,,,,
antena,,,,antenna,,,,,,,
anti,fang,"eng:anti-, spa:anti, rus:анти-, zho:反對",,"n.a. opposite, reverse, contrary, inverse; v. oppose, resist, counter",,,,,,,
anti-kul,,,,"uncool, unfashionable, lame, ugly",,,,,,,格好悪い
anti-mana,,,,antonym,,,,,,,
Antigua e Barbuda desa,desa,,,Antigua and Barbuda,,,,,,,
aple?,vegeta,,,apple,,,,,,,
aple?-sos?,,,,apple sauce,,,,,,,
Arab basa,basa,,,Arabic,,,,,,,
Arab basa dunia,topia,,,"Arab world, Arabic-speaking world",,,,,,,
Arab topia,topia,,,Arabia,,,,,,,
arane,animal,"spa:araña, por:aranha, fra:araignée, eng:arachnid",Araneae,spider,,,,,,,
arena,,,,sand,,,,,,,
arena-topia,,,,desert,,,,,,,
Argentina desa,desa,,,Argentina,,,,,,,
argento,materi,,Ag,silver,plata,,,,,,
argon,materi,,Ar,argon,,,,,,,
argu,,,,v. argue,,,,,,,
argu-teze,,,,"n. argument, point",,,,,,,
aris,vegeta,"eng:rice, por:arroz, spa:arroz, fra:riz, deu:Reis, rus:рис, tur:riz, ara:أرز",Oryzeae,rice,,,,,,,
Artsah desa,desa,,,Artsakh,,,,,,,
asman,,"tur:asuman, hin:आसमान, ben:আসমান, fas:آسمان, ara:سماء",,"n. sky, heavens; a. celestial, heavenly",,,,,,,
asman badan,,,,"heavenly body, celestial body",,,,,,,
asman-logi,,,,astronomy,,,,,,,
astelo,materi,"eng:steel, deu:Stahl, spa:acero, rus:сталь",,steel,,,,,,,
astro,,"eng:astro-, spa:astro, rus:астро-",,star,,,,,,,
Athina nagra,nagra,,,Athens,,,,,,,
atom,,,,atom,,,,,,原子,原子
atom energi,,,,nuclear energy,"energía atómica, energía nuclear",а́томная эне́ргия,"atom enerjisi, nükleer enerji",,tenaga nuklir,,原子力
atom fizika,,,,nuclear physics,,,,,,,
atom kerne,,,,atomic nucleus,,,,,,,
atom militar-gu,,,,nuclear weapon,,,,,,,
au,,"eng:ow, por:au, deu:au, rus:ай, tur:ah, may:aduh, zho:哎喲",,"vt. hurt, cause pain; vi. hurt, be in pain; a. painful, sore; n. pain; i. ouch, ow",,,,,,痛,痛い
audi,sensa,,,"n. hearing, audio; vt. hear; va. sound like",,,,,,,
audi-zen,,,,"audience, listener",,,,,,,
auro,materi,,Au,gold,oro,,,,,,
Australia desa,desa,,,Australia,,,,,,,
auto,,,,n. self,,,,,,,
auto-karma?,,,,a. automatic,,,,,,,
auto-krati,,,,autocracy,,,,,,,
auto-loga,,,,monologue,,,,,,,
auto-moto,,,,"car, automobile (see auto-moto-makin)",,,,,,,
auto-nomi,,,,a. autonomous; independent; n. autonomy; independence; self-governance; free will,,,,,,,
avari,,,,damage,,,,,,,
avena,vegeta,"spa:avena, por:aveia, fra:avoine",Avena,oat,,,,,,,
Azerbaican desa,desa,,,Azerbaijan,,,,,,,
Azia bara,topia,,,Asia,,,,,,,
azilo-zen,,,,refugee,,,,,,,
azilo?,,,,"shelter, asylum, refuge, haven, harbor",,,,,,,
baga,animal,,Panthera tigris,tiger,,,,,,,
Baha'i din,din,,,Bahaism,,,,,,,
Bahama desa,desa,,,the Bahamas,,,,,,,
Bahrain desa,desa,,,Bahrain,,,,,,,
bai,,,,v. lose; not win; n. loss,,,,,,,
bak,kolor,,,white,,,,,,,
bak-ban,,,,"whiteboard, dry-erase board",,,,,,,
ban,,zho:版,,"board, plank; sheet, plate, pane; slab, block",,,,,,,
Bangla basa,basa,,,Bengali language,,,,,,,
Bangla desa,desa,,,Bangladesh,,,,,,,
Bangla topia,topia,,,Bengal,,,,,,,
banke,,,,"v. store, save, stock, put away; n. storage",,,,,,,
banke-kan,kan,,,"bank, storehouse, depot, warehouse, repository",,,,,,,
banke-sei,,,,"stock, supply, reserve",,,,,,,
Bantu basa,basa,,,Bantu languages,,,,,,,
bar,,"eng:baro-, spa:baro-, rus:баро-, hin:भार, ben:ভর, may:berat",,"heavy, massive; burdened; intense; substantial",,,,,,,
bar do,,,,weight; pressure,,,,,,,
bar forti?,,,,gravity,,,,,,,
bar-hal,,,,"serious, grave, difficult",,,,,,,
bar-sei,,,,important,,,,,,,
bara,,,,land; continent,,,,,,,
Barat desa,desa,,,India,,,,,,,
Barat Pakistan hat basa,basa,,,Indo-Pakistani Sign Language,,,,,,,
Barbado(s?),,,,Barbados,,,,,,,
barbakoa,,,,barbecue,,,,,,,
barka-teze,,,,vt. congratulate,,,,,,,
barka?zukfuk?,,,,n. blessing; vt. bless; i. congratulations,,,,,,,
bas,,,,"av. enough; a. enough, sufficient; n. suficiency",,,,,,,
bas no,,,,"av. not enough; a. not enough, insufficient, deficient; n. deficit; deficiency",,,,,,,
basa,,,,"v. speak; n. language, speech, lect",,,,,,,
basa genus,,,,grammatical gender,,,,,,,
base,fang,,,"a. low, inferior; short; n. bottom, base; the area underneath something; av. down",,,,,,,
base-? baza?,,,,"n. base, basis; (chemistry) base",,,,,,,
base-fa,fang,,,"vi. descend, fall; vt. lower, demote; get off (a vehicle)",,,,,,,
baya,topia,"spa:baía, por:baya, eng:bay, fra:?",,bay,,,,,,,
bebe,,,,"baby, infant; babble",,,,,,,
bebe gurube,,,,piglet,,,,,,,
bebe kabalo,,,,pony,,,,,,,
bebe kuku,,,,chick,,,,,,,
